Naive,SeasonalNaive_7,SeasonalNaive_14,SeasonalNaive_28,SeasonalNaive_365,AutoETS,AutoARIMA,LGBMRegressor,NBEATS,NHITS,Chronos,best_model_per_series
0.21979958750805906,0.20315752375062335,0.18764984448789546,0.18834068705514306,0.1912150003219339,0.20419667538648828,0.18493890493454007,0.11810394643695898,0.2932904431294415,0.24903809187341625,0.1734650173488781,LGBMRegressor
0.21115453737848694,0.08688530996112896,0.08591261349284632,0.13372673617300407,0.12316830323991301,0.11550449299271365,0.10532202321655608,0.0810390734738779,0.09404383460519311,0.09519312359601131,0.09207642531466723,LGBMRegressor
0.11895375337164438,0.09241260308021647,0.09053112252092743,0.1077549430370553,0.09878193098511703,0.08605141380579856,0.07745842998672837,0.08757843471302584,0.09895340355760701,0.07898038431929447,0.07969540038908557,AutoARIMA
0.062464585466697975,0.059062887966529205,0.07360684110840382,0.0850526775953712,0.0893286445723554,0.06121374752591833,0.06305843110309278,0.06074850138276247,0.03257080386951899,0.028361457511269977,0.06780991652414137,NHITS
0.11917781035278432,0.10327328791280863,0.10966304780306663,0.11515477839691934,0.11926475030067527,0.10615600957027924,0.09441544931107411,0.06945385843780551,0.08043434498285362,0.07377316927169725,0.07832971533863775,LGBMRegressor
0.15628408716938758,0.10713098337547035,0.1035592644039244,0.11740231132755252,0.133490129143488,0.11321606770988407,0.10432605798200864,0.08549948254372264,0.11891460557111311,0.13006409758502144,0.08252789722614162,Chronos
0.040416569729917015,0.029989773170565226,0.032014876933166424,0.03406305604200639,0.03366928079709153,0.03746609260161266,0.034937913629696296,0.023579092677986666,0.047660780474909424,0.04915355919641147,0.030718140303435344,LGBMRegressor
0.1045499318253105,0.13381617515445593,0.12610798743637164,0.11318115367604475,0.29708816328437426,0.10460412015596832,0.11259136050613869,0.09672805155440249,0.10938514464579521,0.13204517460556325,0.10099346972400297,LGBMRegressor
0.3127862453397943,0.31856050809963654,0.3129648114520759,0.27570029601758794,0.2875109439703406,0.29638415939292784,0.2513850534785512,0.15836499608536314,0.3221894805568941,0.24004652094256296,0.24432345055026872,LGBMRegressor
0.10580512646461121,0.09158186921278158,0.08906996845764759,0.09495808662668052,0.18905557053335598,0.10499472543674238,0.08831679343085803,0.11816840405998151,0.17024858070733875,0.15638341898564484,0.09475152872095596,AutoARIMA
0.05535129294043205,0.04238140294705022,0.041285569230810025,0.04683090543321179,0.07176598635049908,0.047812939551995455,0.051880496904665355,0.0501158309096314,0.07183316190837145,0.07910585937063658,0.04972903591043936,SeasonalNaive_14
0.24951803340578227,0.19028338061243055,0.18957975591676773,0.1725427047535366,0.1994395593110799,0.1651438054381612,0.16340511738074012,0.1295665600323959,0.11065118457278646,0.16008428709108724,0.14544460859478975,NBEATS
0.21505283565923108,0.12765629362622852,0.13234597425635788,0.16835891297115696,0.13360425534633424,0.21443061643981573,0.16046295165909352,0.11630887871374859,0.14632462339712582,0.1328682696453004,0.11738182920837435,LGBMRegressor
0.08190472421283439,0.10262001170737817,0.10851152682991588,0.11733898467951975,0.4514339296124719,0.34473122752610585,0.08561648567524108,0.1727333644982605,0.14324893176937747,0.21446052304092372,0.07780241327416679,Chronos
1.277373188573943,0.854699961092437,0.8807419090341035,1.026835599952596,0.6582545831886146,0.8284913459232197,0.8477726637364951,1.1067364885651543,0.15072464257425877,0.13560571328022394,0.9967746477630188,NHITS
0.16291129145721517,0.16507011240158395,0.14748746246722544,0.15454514607000433,0.1835730313829671,0.1557088658602172,0.14652017369808518,0.11216666418227822,0.20284694320406332,0.2326636365074875,0.1314806433247725,LGBMRegressor
0.4049487238236137,0.2739651583620162,0.2946434594706419,0.3072059299424651,0.29657165926065165,0.40493889697482477,0.29142754839136314,0.16152892450092127,0.26008325930537407,0.18840868493184748,0.15815570559809541,Chronos
