unique_id,ds,Naive,SeasonalNaive_7,SeasonalNaive_14,SeasonalNaive_28,SeasonalNaive_365,AutoETS,AutoARIMA
hotel_0,2023-07-01,0.8271604938271605,0.9506172839506173,1.0246913580246915,0.8641975308641975,0.8641975308641975,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-02,0.8271604938271605,0.5061728395061729,0.6419753086419753,0.5061728395061729,0.5061728395061729,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-03,0.8271604938271605,0.5802469135802469,0.5308641975308642,0.7407407407407407,0.7407407407407407,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-04,0.8271604938271605,0.691358024691358,0.7283950617283951,0.7530864197530864,0.7530864197530864,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-05,0.8271604938271605,0.654320987654321,0.7160493827160493,0.7530864197530864,0.7530864197530864,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-06,0.8271604938271605,0.7160493827160493,0.7654320987654321,0.6049382716049383,0.6049382716049383,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-07,0.8271604938271605,0.8271604938271605,0.8148148148148148,0.7901234567901234,0.7901234567901234,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-08,0.8271604938271605,0.9506172839506173,0.9506172839506173,0.8518518518518519,0.8518518518518519,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-09,0.8271604938271605,0.5061728395061729,0.5061728395061729,0.5308641975308642,0.5308641975308642,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-10,0.8271604938271605,0.5802469135802469,0.5802469135802469,0.7407407407407407,0.7407407407407407,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-11,0.8271604938271605,0.691358024691358,0.691358024691358,0.7901234567901234,0.7901234567901234,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-12,0.8271604938271605,0.654320987654321,0.654320987654321,0.8271604938271605,0.8271604938271605,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-13,0.8271604938271605,0.7160493827160493,0.7160493827160493,0.7901234567901234,0.7901234567901234,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-14,0.8271604938271605,0.8271604938271605,0.8271604938271605,0.8395061728395061,0.8395061728395061,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-15,0.8271604938271605,0.9506172839506173,1.0246913580246915,1.0246913580246915,1.0246913580246915,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-16,0.8271604938271605,0.5061728395061729,0.6419753086419753,0.6419753086419753,0.6419753086419753,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-17,0.8271604938271605,0.5802469135802469,0.5308641975308642,0.5308641975308642,0.5308641975308642,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-18,0.8271604938271605,0.691358024691358,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-19,0.8271604938271605,0.654320987654321,0.7160493827160493,0.7160493827160493,0.7160493827160493,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-20,0.8271604938271605,0.7160493827160493,0.7654320987654321,0.7654320987654321,0.7654320987654321,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-21,0.8271604938271605,0.8271604938271605,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-22,0.8271604938271605,0.9506172839506173,0.9506172839506173,0.9506172839506173,0.9506172839506173,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-23,0.8271604938271605,0.5061728395061729,0.5061728395061729,0.5061728395061729,0.5061728395061729,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-24,0.8271604938271605,0.5802469135802469,0.5802469135802469,0.5802469135802469,0.5802469135802469,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-25,0.8271604938271605,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-26,0.8271604938271605,0.654320987654321,0.654320987654321,0.654320987654321,0.654320987654321,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-27,0.8271604938271605,0.7160493827160493,0.7160493827160493,0.7160493827160493,0.7160493827160493,0.7330607977167926,0.7332451482042917
hotel_0,2023-07-28,0.8271604938271605,0.8271604938271605,0.8271604938271605,0.8271604938271605,0.8271604938271605,0.7330607977167926,0.7332451482042917
hotel_105,2023-07-01,1.0,0.9874213836477987,0.9245283018867925,1.0125786163522013,1.0125786163522013,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-02,1.0,0.9937106918238994,0.9937106918238994,0.9119496855345912,0.9119496855345912,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-03,1.0,1.0188679245283019,1.0062893081761006,0.9937106918238994,0.9937106918238994,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-04,1.0,1.0314465408805031,1.0062893081761006,1.0062893081761006,1.0062893081761006,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-05,1.0,1.0440251572327044,1.0125786163522013,0.9811320754716981,0.9811320754716981,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-06,1.0,1.0062893081761006,1.0566037735849056,0.9559748427672956,0.9559748427672956,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-07,1.0,1.0,0.9874213836477987,0.9811320754716981,0.9811320754716981,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-08,1.0,0.9874213836477987,0.9874213836477987,1.0062893081761006,1.0062893081761006,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-09,1.0,0.9937106918238994,0.9937106918238994,0.9811320754716981,0.9811320754716981,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-10,1.0,1.0188679245283019,1.0188679245283019,0.9937106918238994,0.9937106918238994,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-11,1.0,1.0314465408805031,1.0314465408805031,1.0377358490566038,1.0377358490566038,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-12,1.0,1.0440251572327044,1.0440251572327044,1.0125786163522013,1.0125786163522013,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-13,1.0,1.0062893081761006,1.0062893081761006,1.0188679245283019,1.0188679245283019,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-14,1.0,1.0,1.0,0.9622641509433962,0.9622641509433962,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-15,1.0,0.9874213836477987,0.9245283018867925,0.9245283018867925,0.9245283018867925,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-16,1.0,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.9937106918238994,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-17,1.0,1.0188679245283019,1.0062893081761006,1.0062893081761006,1.0062893081761006,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-18,1.0,1.0314465408805031,1.0062893081761006,1.0062893081761006,1.0062893081761006,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-19,1.0,1.0440251572327044,1.0125786163522013,1.0125786163522013,1.0125786163522013,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-20,1.0,1.0062893081761006,1.0566037735849056,1.0566037735849056,1.0566037735849056,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-21,1.0,1.0,0.9874213836477987,0.9874213836477987,0.9874213836477987,1.0051773310493548,0.9973045822102427
hotel_105,2023-07-22,1.0,0.9874213836477987,0.9874213836477987,0.9874213836477987,0.9874213836477987,1.0051773310493548,0.9973045822102427
